Iteration Inst nbReq nbRejectReq cost time
9 2 150 0 1058085.0 1582984739
9 2 200 0 1486845.0 1582991789
9 3 8 0 94770.0 1583001010
9 3 70 0 495621.0 1583004645
9 3 100 24 1018836.0 1583009848
9 3 150 0 1043820.0 1583020345
9 3 200 0 1426301.0 1583027807
9 4 8 0 103365.0 1583031667
9 4 70 9 602379.0 1583033866
9 4 100 0 860562.0 1583043037
9 4 150 0 1139606.0 1583051303
9 4 200 0 1443006.0 1583058656
